family,exp_ev_ia,exp_ev_upd,exp_ev_pr3,bat_med,bat_shape,bat_scale,cure_frac,unc_med,unc_shape,unc_scale,n_attempts,n_pass_events,n_pass_futility,n_accepted,acceptance_rate,p_reach80,p_no_readout,median_hr_final,hr_final_low,hr_final_high,p_hr_below_threshold,p_success_overall,median_t80_months,p10_t80_months,p90_t80_months,median_hr_ia,median_z_ia,median_bat_alive_upd,median_gps_alive_upd
cure,58.57501375332986,72.8641661096414,77.12590720225452,17.0,1.0,24.525815695112378,0.30000000000000004,23.0,0.6,42.366124124215396,800,101,61,61,0.07625,1.0,0.0,0.4288869816263175,0.3098992490506141,0.5599540064262852,0.9836065573770492,0.9836065573770492,65.6072765132044,63.594994243717565,69.08768980251608,0.560908433547289,2.214785058553585,16.0,37.0
cure,58.99092720714546,72.92630797716382,77.38894526983408,18.0,0.6,33.15609714069031,0.1,27.0,0.8999999999999999,40.571808132002914,800,104,61,61,0.07625,1.0,0.0,0.6818260635577756,0.4823287829669337,0.9702637541106804,0.29508196721311475,0.29508196721311475,65.33026700618422,63.50908183706855,69.66111557784537,0.6201379239659804,1.868033708526996,23.0,30.0
cure,58.58336653720867,72.76506889275203,77.03518180540719,18.0,0.8,28.460378974788597,0.35000000000000003,17.0,0.8999999999999999,25.54521252755739,800,111,61,61,0.07625,1.0,0.0,0.521740239182756,0.3558764365090745,0.8007607740905703,0.7704918032786885,0.7704918032786885,65.76457603690359,63.46786385507335,70.86657605558523,0.5801846940018826,2.0821807897397444,20.0,34.0
cure,58.88617930682428,72.8692646743595,77.34128846766536,19.0,0.6,34.998102537395326,0.1,26.0,0.8999999999999999,39.06914857155836,800,114,61,61,0.07625,1.0,0.0,0.702185952510512,0.47916786223756747,0.9758563932876142,0.2459016393442623,0.2459016393442623,66.18880471781563,63.6983780085812,68.76172008133665,0.6401652238834461,1.6902931216806998,24.0,30.0
cure,58.69158285760888,73.29210300874234,77.74349280099969,19.0,0.8,30.04151114005463,0.30000000000000004,18.0,0.8999999999999999,27.04787208800194,800,110,61,61,0.07625,1.0,0.0,0.6057432196673393,0.4101219737255825,0.8581581045182655,0.6721311475409836,0.6721311475409836,64.87151040249935,63.685609494094464,69.04220299752447,0.6213685517950381,1.8276098511921404,21.0,33.0
cure,59.74532649643047,73.03172072821084,77.2053649497382,15.0,0.6,27.63008095057526,0.2,25.0,0.8999999999999999,37.56648901111381,800,111,60,60,0.075,1.0,0.0,0.5904655823726118,0.43056197640015687,0.9111406069579715,0.6166666666666667,0.6166666666666667,65.85179383475113,63.70146116762598,69.12933418736561,0.552444467842546,2.256695648309516,21.0,32.0
cure,59.22327749623892,72.93276380278655,76.97315728808337,17.0,0.8,26.879246809522563,0.4,15.0,0.8999999999999999,22.539893406668284,800,98,60,60,0.075,1.0,0.0,0.47940878463178604,0.37574263902965305,0.676694418105895,0.9166666666666666,0.9166666666666666,65.98766208908502,63.80739863571081,70.05321464699702,0.5866268837793129,2.063988475733802,19.0,35.0
cure,58.97205837616485,73.28940004123953,77.55444840161154,17.0,1.0,24.525815695112378,0.30000000000000004,22.0,0.6,40.524118727510384,800,113,60,60,0.075,1.0,0.0,0.44945841513992857,0.3153141094008041,0.6001457730866571,1.0,1.0,65.32155781333856,63.57098904388215,69.13484929594627,0.5549017704171941,2.296732416259329,17.0,36.0
cure,59.20819821485841,72.61222119430576,76.80378540066043,18.0,0.6,33.15609714069031,0.2,22.0,0.8999999999999999,33.058510329780155,800,97,60,60,0.075,1.0,0.0,0.6406676427892117,0.41124940801923376,0.924762305873812,0.5,0.5,65.31713943980415,63.67537922333206,70.89516548450096,0.5780610500815332,2.0927850699723622,22.0,31.0
cure,58.69970794398529,72.39313792472038,76.73191760587366,19.0,0.6,34.998102537395326,0.15000000000000002,24.0,0.8999999999999999,36.06382945066925,800,115,60,60,0.075,1.0,0.0,0.6846617513579571,0.45030090299439723,0.9326843115764933,0.38333333333333336,0.38333333333333336,65.12129709352931,63.76582974836818,70.0049606041466,0.5640997649160254,2.1804662841739546,23.0,31.0
cure,59.43554143712019,72.8970986059402,77.13033263733583,20.0,0.8,31.62264330532066,0.1,26.0,0.6,47.89214031433045,800,117,60,60,0.075,1.0,0.0,0.6205596308791514,0.42688226800832285,0.8815314858533385,0.5833333333333334,0.5833333333333334,66.3980618532076,64.03083270190912,70.16755609875064,0.6661047050076563,1.550201780440789,21.0,33.0
